,Unnamed: 0,Title,Metascore,Rated,Runtime,Released,Year,Genre,Box Office,imdb_rating,imdb_votes,imdb_source,imdb_score,rotten_source,rotten_score,metacrit_source,metacrit_score
3902,3902,Rio 2,49.0,G,101 min,11 Apr 2014,2014,"Animation, Adventure, Comedy, Family, Musical","$113,691,800",6.3,"73,269",Internet Movie Database,6.3/10,Rotten Tomatoes,48%,Metacritic,49/100
3906,3906,A Haunted House 2,17.0,R,86 min,18 Apr 2014,2014,"Comedy, Fantasy","$13,710,572",4.7,"18,352",Internet Movie Database,4.7/10,Rotten Tomatoes,8%,Metacritic,17/100
3908,3908,Transcendence,42.0,PG-13,119 min,18 Apr 2014,2014,"Action, Drama, Sci-Fi, Thriller","$23,014,504",6.3,"206,139",Internet Movie Database,6.3/10,Rotten Tomatoes,20%,Metacritic,42/100
3911,3911,The Other Woman,39.0,PG-13,109 min,25 Apr 2014,2014,"Comedy, Romance","$77,860,761",6.0,"123,939",Internet Movie Database,6.0/10,Rotten Tomatoes,25%,Metacritic,39/100
3912,3912,Walking with the Enemy,44.0,PG-13,124 min,25 Apr 2014,2013,"Action, Drama, History, Romance, War","$357,000",6.3,"1,507",Internet Movie Database,6.3/10,Rotten Tomatoes,46%,Metacritic,44/100
3913,3913,The Amazing Spider-Man 2,53.0,PG-13,142 min,02 May 2014,2014,"Action, Adventure, Sci-Fi","$183,277,573",6.6,"393,231",Internet Movie Database,6.6/10,Rotten Tomatoes,52%,Metacritic,53/100
3915,3915,Decoding Annie Parker,56.0,R,91 min,02 May 2014,2013,Drama,"$39,850",6.2,"2,807",Internet Movie Database,6.2/10,Rotten Tomatoes,56%,Metacritic,56/100
3916,3916,Walk of Shame,25.0,R,95 min,01 May 2014,2014,Comedy,"$39,751",6.0,"48,540",Internet Movie Database,6.0/10,Rotten Tomatoes,12%,Metacritic,25/100
3917,3917,Devil's Knot,42.0,Not Rated,114 min,12 Mar 2014,2013,"Biography, Crime, Drama, Thriller","$122,892",6.1,"18,978",Internet Movie Database,6.1/10,Rotten Tomatoes,24%,Metacritic,42/100
3918,3918,God's Pocket,51.0,R,88 min,08 Aug 2014,2014,"Crime, Drama","$97,040",6.1,"10,210",Internet Movie Database,6.1/10,Rotten Tomatoes,37%,Metacritic,51/100
3920,3920,Neighbors,68.0,R,97 min,09 May 2014,2014,Comedy,"$134,413,041",6.3,"268,401",Internet Movie Database,6.3/10,Rotten Tomatoes,72%,Metacritic,68/100
3922,3922,Godzilla,62.0,PG-13,123 min,16 May 2014,2014,"Action, Adventure, Sci-Fi, Thriller","$172,962,996",6.4,"356,766",Internet Movie Database,6.4/10,Rotten Tomatoes,75%,Metacritic,62/100
3927,3927,X-Men: Days of Future Past,75.0,PG-13,132 min,23 May 2014,2014,"Action, Adventure, Sci-Fi, Thriller","$199,305,306",8.0,"627,328",Internet Movie Database,8.0/10,Rotten Tomatoes,90%,Metacritic,75/100
3928,3928,Maleficent,56.0,PG,97 min,30 May 2014,2014,"Action, Adventure, Family, Fantasy, Romance","$190,871,149",7.0,"309,887",Internet Movie Database,7.0/10,Rotten Tomatoes,53%,Metacritic,56/100
3929,3929,A Million Ways to Die in the West,44.0,R,116 min,30 May 2014,2014,"Comedy, Western","$37,331,031",6.1,"162,078",Internet Movie Database,6.1/10,Rotten Tomatoes,33%,Metacritic,44/100
3930,3930,Edge of Tomorrow,71.0,PG-13,113 min,06 Jun 2014,2014,"Action, Sci-Fi","$77,121,429",7.9,"554,058",Internet Movie Database,7.9/10,Rotten Tomatoes,90%,Metacritic,71/100
3933,3933,22 Jump Street,71.0,R,112 min,13 Jun 2014,2014,"Action, Comedy, Crime","$154,295,930",7.0,"323,254",Internet Movie Database,7.0/10,Rotten Tomatoes,84%,Metacritic,71/100
