Title,Metascore,Rated,Runtime,Released,Genre,Box Office,imdb_rating,imdb_votes,imdb_source,imdb_score,rotten_source,rotten_score,metacrit_source,metacrit_score,release_month,release_year
Crocodile Dundee in Los Angeles,37.0,PG,92 min,20 Apr 2001,"Adventure, Comedy, Crime",25264107.0,4.8,"22,438",Internet Movie Database,4.8,Rotten Tomatoes,1.1,Metacritic,3.7,04,2001
The Curse of the Jade Scorpion,52.0,PG-13,103 min,24 Aug 2001,"Comedy, Crime, Mystery, Romance",6793998.0,6.7,"36,001",Internet Movie Database,6.7,Rotten Tomatoes,4.6,Metacritic,5.2,08,2001
The Deep End,78.0,R,101 min,31 Aug 2001,"Crime, Drama, Mystery, Romance, Thriller",8301918.0,6.5,"10,616",Internet Movie Database,6.5,Rotten Tomatoes,8.2,Metacritic,7.8,08,2001
Den of Thieves,49.0,R,140 min,19 Jan 2018,"Action, Crime, Drama, Mystery, Thriller",44680327.0,7.0,"72,351",Internet Movie Database,7.0,Rotten Tomatoes,4.1,Metacritic,4.9,01,2018
Dogtown and Z-Boys,76.0,PG-13,91 min,10 May 2002,"Documentary, Sport",1187606.0,7.7,"11,507",Internet Movie Database,7.7,Rotten Tomatoes,9.2,Metacritic,7.6,05,2002
Domestic Disturbance,29.0,PG-13,89 min,02 Nov 2001,"Crime, Mystery, Thriller",44379332.0,5.6,"23,460",Internet Movie Database,5.6,Rotten Tomatoes,2.4,Metacritic,2.9,11,2001
Don't Say a Word,38.0,R,113 min,28 Sep 2001,"Drama, Mystery, Thriller",54218420.0,6.3,"46,063",Internet Movie Database,6.3,Rotten Tomatoes,2.4,Metacritic,3.8,09,2001
Down to Earth,32.0,PG-13,87 min,16 Feb 2001,"Comedy, Fantasy",63095559.0,5.5,"20,777",Internet Movie Database,5.5,Rotten Tomatoes,2.0,Metacritic,3.2,02,2001
Dr. Dolittle 2,49.0,PG,87 min,22 Jun 2001,"Comedy, Family, Fantasy",111484392.0,4.7,"39,455",Internet Movie Database,4.7,Rotten Tomatoes,4.2,Metacritic,4.9,06,2001
Enemy at the Gates,53.0,R,131 min,16 Mar 2001,"Drama, History, War",50507533.0,7.6,"226,903",Internet Movie Database,7.6,Rotten Tomatoes,5.4,Metacritic,5.3,03,2001
Evolution,40.0,PG-13,101 min,08 Jun 2001,"Comedy, Sci-Fi",37571347.0,6.1,"114,022",Internet Movie Database,6.1,Rotten Tomatoes,4.3,Metacritic,4.0,06,2001
The Fast and the Furious,58.0,PG-13,106 min,22 Jun 2001,"Action, Crime, Thriller",142542950.0,6.8,"324,411",Internet Movie Database,6.8,Rotten Tomatoes,5.3,Metacritic,5.8,06,2001
Festival in Cannes,46.0,PG-13,100 min,25 Jul 2002,Comedy,41006.0,6.0,502,Internet Movie Database,6.0,Rotten Tomatoes,6.5,Metacritic,4.6,07,2002
The Forsaken,35.0,R,90 min,27 Apr 2001,"Horror, Thriller",6258942.0,5.3,"8,000",Internet Movie Database,5.3,Rotten Tomatoes,0.7,Metacritic,3.5,04,2001
Frailty,64.0,R,100 min,12 Apr 2002,"Crime, Drama, Thriller",13076378.0,7.2,"71,932",Internet Movie Database,7.2,Rotten Tomatoes,7.4,Metacritic,6.4,04,2002
Freddy Got Fingered,13.0,R,87 min,20 Apr 2001,Comedy,13748199.0,4.6,"44,167",Internet Movie Database,4.6,Rotten Tomatoes,1.0,Metacritic,1.3,04,2001
From Hell,54.0,R,122 min,19 Oct 2001,"Horror, Mystery, Thriller",30692411.0,6.8,"140,376",Internet Movie Database,6.8,Rotten Tomatoes,5.7,Metacritic,5.4,10,2001
Get Over It,52.0,PG-13,87 min,09 Mar 2001,"Comedy, Romance",11294663.0,5.7,"17,127",Internet Movie Database,5.7,Rotten Tomatoes,4.4,Metacritic,5.2,03,2001
Ghost World,88.0,R,111 min,21 Sep 2001,"Comedy, Drama",4694484.0,7.3,"107,574",Internet Movie Database,7.3,Rotten Tomatoes,9.2,Metacritic,8.8,09,2001
Ghosts of Mars,35.0,R,98 min,24 Aug 2001,"Action, Horror, Sci-Fi",7307616.0,4.9,"48,599",Internet Movie Database,4.9,Rotten Tomatoes,2.1,Metacritic,3.5,08,2001
The Glass House,34.0,PG-13,106 min,14 Sep 2001,"Crime, Drama, Mystery, Thriller",17387693.0,5.8,"29,837",Internet Movie Database,5.8,Rotten Tomatoes,2.1,Metacritic,3.4,09,2001
Glitter,14.0,PG-13,104 min,21 Sep 2001,"Drama, Music, Romance",3865759.0,2.2,"20,859",Internet Movie Database,2.2,Rotten Tomatoes,0.7,Metacritic,1.4,09,2001
Gosford Park,90.0,R,131 min,18 Jan 2002,"Comedy, Drama, Mystery",41274328.0,7.2,"74,488",Internet Movie Database,7.2,Rotten Tomatoes,8.6,Metacritic,9.0,01,2002
Hannibal,57.0,R,131 min,09 Feb 2001,"Crime, Drama, Thriller",163877858.0,6.8,"238,934",Internet Movie Database,6.8,Rotten Tomatoes,3.9,Metacritic,5.7,02,2001
Hardball,48.0,PG-13,106 min,14 Sep 2001,"Drama, Sport",39697363.0,6.4,"26,610",Internet Movie Database,6.4,Rotten Tomatoes,4.0,Metacritic,4.8,09,2001
Harry Potter and the Sorcerer's Stone,64.0,PG,152 min,16 Nov 2001,"Adventure, Family, Fantasy",317557891.0,7.6,"578,255",Internet Movie Database,7.6,Rotten Tomatoes,8.1,Metacritic,6.4,11,2001
Head Over Heels,27.0,PG-13,86 min,02 Feb 2001,"Comedy, Mystery, Romance",9892550.0,5.4,"13,300",Internet Movie Database,5.4,Rotten Tomatoes,1.0,Metacritic,2.7,02,2001
Hearts in Atlantis,55.0,PG-13,101 min,28 Sep 2001,"Drama, Mystery",23604382.0,6.9,"34,242",Internet Movie Database,6.9,Rotten Tomatoes,4.9,Metacritic,5.5,09,2001
Hedwig and the Angry Inch,85.0,R,95 min,31 Aug 2001,"Comedy, Drama, Music, Musical",1547128.0,7.7,"29,985",Internet Movie Database,7.7,Rotten Tomatoes,9.3,Metacritic,8.5,08,2001
